ownerAddress,value
0x000000000004d7463D0f9C77383600bC82D612f5,0
0x00000000000Cd56832cE5dfBcBFf02e7eC639BC9,0
0x0000000000A47f168017E6624F59488924EC6f50,0
0x00000000051CBcE3fD04148CcE2c0adc7c651829,0
0x000000005E2f9f4A3056c1540b5235475bd17871,0
0x000000FeeE8780D16539EB78AD2f2702e8c3C844,0
0x000001f568875f378bf6d170b790967fe429c81a,0
0x000005a271A610964Bb42658c7ff50FEE2Aa055a,0
0x0000396ed2931b122b9056641eb41ed142355191,0
0x0000a83deaa073245cfbde660fd8daf09d78de00,0
0x0001859725d8AD57401188C87a1AB1f065F1710D,0
0x0001b874A65BeE9BBE4E3A6B043B6a76f83982B7,0
0x0002cf540a528d8680021c51d31166c792d51789,0
0x000433708645EaaD9f65687CDbe4033d92f6A6d2,0
0x0004fF7E7217dc672874FeCE2c7588581e97b1a7,0
0x00080000158a9930aeb508823103b0a977161c47,0
0x00084121aec4309cb20db622a28c717720e888e0,0
0x0008d343091EF8BD3EFA730F6aAE5A26a285C7a2,0
0x0009a1cFB021Bf6DB2C2d6258406Dc1251c9dd4A,0
0x000ABa3fFfB94D769c3aA1B3eAcDc237de18802E,0
0x000B75fCDC15D41277deb033c72d2C8D774CcCED,0
0x000ba8C5F813BC6f20F9981B60953e44a991451B,0
0x000c9D05B64167cc59aD776c2032C736a4d6e8Ee,0
0x000cd27f10dffac73201258eaa3925c0452051a0,0
0x001096190E8F3fA24b749704bE231ab232348CB1,0
0x00167777e0daF9dc2D3A76195ab56E857ec67aB2,0
0x0016a551d7864B347Bc860745b45b3359C966D12,0
0x001796a4EfC1F40637124C84C30Bc320C83D85D1,0
0x001824463aFBde7f904CD0B74A2cD5d04BC5F04c,0
0x001aba7087f49a135ffb121a40684416824e9c34,0
0x001dC27961F97A04BcEcD829A12895CCf8Ca3B3C,0
0x001e15709C2b2e7Fb61D8220ae9b444C1eeF2D00,0
0x001e1826c164DD5D439B72f2Aa837848A37a88db,0
0x001F8f0cBB3fAC41BCe874D8e95909334D613814,0
0x001fd093d89b24f7de35bc47b6d01c750f398707,0
0x002142f86F77cfB3D82797dF8e5AB3092D48c4BA,0
0x0022F267eb8A8463C241e3bd23184e0C7DC783F3,0
0x0023107592FbbA07b981B33A0a9660084003cb23,0
0x002793348763D5433689e118112E353fDA778B7A,0
0x002936cd9Bcb36Cd2b5f168EdB16DC983afcC1C3,0
0x002A3Be63B3B312da5D58Eb02d2B48869B46Ec82,0
0x002a5920E786596381dc318544ED77047f54D56A,0
0x002bc879ecf65cf7ec66e02456547120e72aa11a,0
0x002c54B006d87Ed0F7592973A7C77433640DF12E,0
0x002c609dc34918269E2174d82FCb6eCB4F6CF386,0
0x002e843f85521c4e48e667185663902a7a3a9c10,0
0x003000Bb2D5221da1bFC8aC32aa8d142D5CC989e,0
0x0030B9F1925408D79be83C7cecfffdbACb638e9B,0
0x0035E4549D4B9D45cad0B9AFDDb88C825168dCf3,0
0x0039a58ddcd7f3dda7a43a88f474856aff3fb01c,0
0x003a85c562730B196f7CBa202a2515f2fF855736,0
0x003D6d6471DB21190720aadF2F55D9F981362bB1,0
0x003dfd836b5AecC95F0E42F1E1F21879C31E8F46,0
0x003e790127e6375be0e016e3294de76fe57ed369,0
0x003f2fAFD0Ac851233c871ee5A9f1d75d7A9e96c,0
0x003f35595dce3187b4fff2b5a2c4303f7158208a,0
0x00403d8538F8275279FceDcAC967F972a72CFc1e,0
0x00423abCfda22dB5BC8a7AdA2145B84682c3E02D,0
0x0043c13e5dBA27d481548Dc4598a19A267D10c38,0
0x0044f1dC96C744786d6cd473fd28fDF70ec66E58,0
0x0048d77cD53479C2E9594d55F058A224041C11cE,0
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0
0x0049A94810C1A9DF3B248A41C72B6de01C6536f6,0
0x0049d74aBecB7E4f4a989Ad1902158A3Df034F26,0
0x004Ac13695329785E9005E2948C54E021C1f202d,0
0x004CaD75155Af30B36B33358047604B8A9227f6c,0
0x004d1e2D32296c55dF985014A40E40ea01811705,0
0x0052d2e4af4548e6cf19e817b944cedb23ae09df,0
0x0054f730ed963e5e180b08a59f53e5c6d9675d27,0
0x0055cd5f017027d10adf4f13332181e6d8d886bb,0
0x0056900c02a60138240B958B5B9695236aA788bb,0
0x005733ec2A955b993923394B3f05a8BB4036a84C,0
0x0057c9DF7ec1890bF9F5a7a95ba6C978191d0e5e,0
0x005806ed97b849f18bde76a35cb84c4c2ecf43e9,0
0x00613F2dCcCb7ac28Fa1806FabB6D6c392417c23,0
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,0
0x00674d49943f7627b9faa63e5d6392f25294a19a,0
0x0068e91105B0D2c52de69c6eFB6329B66B1cDac5,0
0x006a3ACd3eBAe6403aC8972B0813C2E9c5b803D9,0
0x006C0a5aFF8a9489235AD7b876e17DDa0F216794,0
0x006d43183A67Dd662796147112fB93D84e109141,0
0x006F1B49A97d12F1DB4e8a0b023F51AB66153E27,0
0x006f3F4032E1df0850BE5D123152a3ba2bd68012,0
0x00721f6C08372d9C40FeD3C8d8fBb92b471AfF0D,0
0x0075078a6f6621acb3f43d2915fc8e40e5a5c657,0
0x00796e910bd0228ddf4cd79e3f353871a61c351c,0
0x00798709B7e522a82199EA2AFD47d7D3f299408a,0
0x007Ad0Cd725126De6e6C61D06380a4c75E889016,0
0x007cb716c24d4becf3143a8f6ba7418ccc05a544,0
0x007dA51601FFa3aDE61876C0858F778F4d727595,0
0x007e01f7e8366a06D549516544aA0D9473cBB695,0
0x0080C6DB0Eb694bCB00dD46220834Adbe7f83189,0
0x00812076E9460d60E7F9af956cBDA17Ac64eEAA2,0
0x008275A6EcFCAc9321e7930cCc62F3083Ec309b0,0
0x00834767b49D8B3029f895939CB0cd7332d27dC9,0
0x00834d4DAbCfD867F97bDCEca709EB709c998E2D,0
0x0084b157fea3f2637a7c3Ee211cd2CDEf882F5B2,0
0x0085C61976D420B512e345731b52B1682C5e1A0a,0
0x0087b900c1D260193B1A49ACb11C1BF5dD77eCDB,0
0x008a74d96d799b0fcfae8462BfFF8C37C7ccc611,0
0x008c84421da5527f462886cec43d2717b686a7e4,0
0x008F0ca4a53281e782B94903ebCB3dCe6F166499,0
0x008f38A71dD5E39f3EB4959411eBD724a4707818,0
0x008ffdEA584d1c91E2e3547Bd2DCC523BdCb0F96,0
0x0090720FeD7Fed66eD658118b7B3BB0189D3A495,0
0x00907c190f3a02A1DdE312585919346E61034db7,0
0x009175F356Cec7B5D62d91bf4B48Bc96b8d6436d,0
0x00929C5c2c4f00B540e429247669Eb6fcd8b1DBF,0
0x009361a8BD539C1DBa20b6A5B2f6f2D691C854a5,0
0x0094378B691dB9B4D6074870460cA466270B3Cbe,0
0x0098644f5B4B5bfBfFE9CF31036D12Db79a73893,0
0x009988ff77eeaa00051238ee32c48f10a174933e,0
0x0099E28603168a9DE6ea2080D690E87f20618087,0
0x009ae2D1a7240cFc89095FAB06ED24f1641D9169,0
0x009D2AEF6EdED4C1543E9a41cC6f864b5EcfB564,0
0x009ea1c1E52934090CD6a541B2C14e0a6a72a5bF,0
0x00a1b46319be9163b8ae30dbe506235608a563dc,0
0x00A502e608b7D0befe29C65bA87eF66A17801889,0
0x00a53E3FeA0109124613c5bA34c1Bb2a9dbeC3D7,0
0x00ac4257D3848f6e2e3a64d30F221B3fA095ae8F,0
0x00ACf1f79Ff43b1FF5b4ff28b537CBf27445869f,0
0x00b4Bc544Ae0e57a88f4820F57971F90d91FAAFF,0
0x00b6F8f1ee0241075799AA7474C70304D8FA0814,0
0x00b780B806474Bb046DeF79571b012fd92027F7F,0
0x00B87c1b8C5f615c514f6D8174aB59633F1c9eD7,0
0x00Bb5043b81aAed49A69A4f957A3c9dC98A4D924,0
0x00bD256B2730FE6E9D523209919B83b806290A3A,0
0x00bf5ec16471769882c6aa21d99fecf7a8f5d94e,0
0x00C359aA13Fc35FA41B68d74D7408800791A584e,0
0x00c46192cfCCd96C8CAFB2947255CB51836C2085,0
0x00c4f75b25153e6f2754b75c0ecf6bba219966e7,0
0x00C5b979657b92994012914D52c85B75A59aD1A3,0
0x00c5D42EA6d91b51D90DCbf46b7e93D74Eb49885,0
0x00C5EcB1121a8b333BF54ca4B54C65dEBe0A2AF5,0
0x00c62fb0ed991c19edffedf58136f42d188c3cf2,0
0x00C6cd55fc8fDb9Ac0fcb10eD13260672Dd6DB4f,0
0x00ca42a8a06ebdefb32a7cc7d80e927b0e29f040,0
0x00cb2CBcE7Ba03927ebaf2C32AA1A1f88A6461e3,0
0x00Cc49FD98e8124b172e210aE34ec6190Bc673ac,0
0x00cDa37BfC3Dd20349Aa901Fe8646688218d8772,0
0x00d29fbc981d05edba69bc0909e391a132271357,0
0x00d550ad3756337c6fe46ae7506fae875bf75803,0
0x00D7e4903C6D88DEeB29eEcD9E7E853a31c46554,0
0x00d8ac403611d860fc25316c33ff535cce233e40,0
0x00dC3408Ea8B74911790Ad113fC1106654B71273,0
0x00DD1d15D178f99A75F38a4bE075b7E30CeA1810,0
0x00dDD913f6433a3f77B34909fdD65ed960A8959D,0
0x00de86cbe88e953c38ec6afb20e34f3c0f5762c9,0
0x00E0E0Fa5c60346582DCE5C3195a9940Ae7111FE,0
0x00E2E8E5Fee09A6f20cA8bCbE9331085DF6d0A1E,0
0x00e2f5ac83da949d8bfaa80e822462096e0f0b66,0
0x00E484DA1156202e9Dd341aD7Ea9c908bB919E96,0
0x00e839Bc0c9a130afE30974914C4B0100756CFf4,0
0x00Ea222A79d2e3Bf9a0ca9430ed1c26ddF93e373,0
0x00eC3B73314C143c4DbeD76590Df87D8131A2ba4,0
0x00ED3fa9C29EB984291e6AC70B68955ff0a5A113,0
0x00eE49bd69D7c79142c580Ee6f06983155FC552d,0
0x00eF256c967703Ec84acDbeE0b9690D3BbCBd6dC,0
0x00f17631062e982c9babc834ef3f7ac5ba14aef6,0
0x00f2bB128BaBa9E2b3a466228759166987E4FEb9,0
0x00f35951b479c8eCc4e549Fcb19B46b2e773cBef,0
0x00f630965f882298219edbb1b96e0409ec6c8698,0
0x00f91504046cB47D24b7ac9EE6Ae8f407BdCa65f,0
0x00f96D4f0B1d60BA66B32663835F4E28438344c7,0
0x00fa2f7b927e1baa1bce7d5992f16f1d9749fc35,0
0x00Faa8a1D9e8e148051Da8085E9f608b0F1F2134,0
0x00ff72c361f6181f32e702b0473818f683978998,0
0x00ffc9f986eaec82cafdc2ae5350c48b51a3acdf,0
0x0100029670faae0fd631810c483b9cae68e9bb1a,0
0x01022CBde7a6cd57D08dbd8c42d54C9304C9fA8f,0
0x0103a4966daba5a947df52b0B892d8b3fdEF5A4F,0
0x0103fAD7C742ec520d5782E9BDD7754ead70DdfE,0
0x0105091bd88dd46ed3544e701C8c964033D4338c,0
0x01056fe059e9f75881214f8a210a8607ecd7769d,0
0x010840EbB901f0802017E404f4D2Ae857E93EAea,0
0x010931976227576A1139dA8201c25e01a38D9da0,0
0x010bfc7284a56d37ae72e9f753ee4e2b8f67d225,0
0x010c2af4d74c711aD2631cEafF11B5CC217647E1,0
0x010CDE9714bc23F3cEf7d643dD831dc99F2235d8,0
0x010D1aE300eBbfe8E31E53ef8BebD59a8169a3f5,0
0x010f8680D6B5a459cF959174758648dA5062194c,0
0x010fc1eb649B828e298EBF39dd581B04C9e33b8f,0
0x011111010101FC5990fCCAFf7530852A1f9D2036,0
0x0112040Adee9A7984957bc3Ed77A15a8072baF35,0
0x01132178b017130Faa839ece506Cd17aDB5EE95d,0
0x01137a64b07d797C27CeA248F2Aaf97527Dd7296,0
0x0115DA7cB6A90ED1B025e59dd3B985F7d1A0207f,0
0x01163F6894493F9ecb59c30807A1296b0E00cbBA,0
0x01172Ef414603C3810596dbD040D18b2D0A3472C,0
0x0117d5dd3ef52036b53a889b14acb6ef08d77444,0
0x0118137De41B7BaDAd0942a7F4C5616e0ADAC761,0
0x011a991df27fb53637b7319d3a43e91b5da5b4e8,0
0x011B4e8b3496b0c799b8536999d5f24d7Ad43b19,0
0x011E1177f4C7e7F1a613566aE790297827454661,0
0x011ea68c15f4a8316da45c1e7844311cdd0ba149,0
0x011F7618ba048a61D2C810b07CA3eE13f0777587,0
0x0120701845482355c2345AA31B4b5420aa4905F4,0
0x0120b4134354d7e885685a23e7606ccaf7d0b2b4,0
0x0120d5D85b62E997dA04277f65A440857080B9fC,0
0x0120e3D90deB6e454B824C19218f30A84a874C1b,0
0x0121b7425BF0bD1b1E0F9022F876Ac71796DE925,0
0x01225AC47572978cbDBFD7A6E181bFB3C2257843,0
0x0122a528C9dCc2ceC9c8CbCD7DA72beB828d0527,0
0x012345e6Fa44EED2Df2443C739e65165861E0842,0
0x01236419C1976221B1951eDf0586b9Df33F19092,0
0x01239594359a32B04A38a337BdcafecD5D24fb51,0
0x0125392BF05829A0d3aDEAa31552E22160DFbdAe,0
0x0126a1FF738D53f5F81b5d4CbD23AFc939Eb0E0f,0
0x0127867fd935a2c6835259e4AD82c14377935C6a,0
0x01280480bF9FD7C5991C7D5B7ef829CE7878A315,0
0x012dd2d8F141d9c7F369c492EEcE512950BDD44f,0
0x012e168acb9fdc90a4ed9fd6ca2834d9bf5b579e,0
0x012E463E23A192cCf180cBaD0f5b5012e3ebE4e1,0
0x013026c99250694e2cd6c37793771f2a7b2618a2,0
0x013140F3C6D14895959B9f7F398a4346BD9C69C6,0
0x013285927a5C912A11DFfb3254abEc1055655614,0
0x0133D4048B91F3402C5DbbA92f1DE536704eC9F6,0
0x01352159230beEA7bbA00d5C33773A2540D77bfa,0
0x0138e93CB36a9d404593dBfD00469e57d3b7C754,0
0x013bf9dc30E53C1EeB580945838BD7aC84AE0A86,0
0x013Cf7f1Eb254Fa14F7EE524A3C514F21b2B3446,0
0x0140a5def60faa75b73469e600c5ed967416a400,0
0x0145FFaEEE616d51Bc127152118EEEf22936FD66,0
0x0147235064c91d4ce67ece8c85a1941c601e22d0,0
0x014cb1aD3300B8634740d79A53c2Fc10c71f2124,0
0x014f573ebd655c46aa95fd94469d6a53bc040502,0
