address,value
0xada53dd3c03a5b20dccf8ee6615cf31a94c8fa51,1
0x147f466fef6bd04617fc0c8037ea01c73bc25a3f,1
0xc5aca861be2856d25821f3ef0317950c369044fa,1
0x7752b30ebbc753cab112298db890c83dcdc500bf,1
0x64ad18fd2cde41578d231955c98a714f8cbac239,1
0x3a43f6e92708cb75425b0b1063526efbe783864d,1
0x429c8a65f4858ab2e6dc7112e88f0c0796a42692,1
0x9ea7fa95ae8b4bf42d389c0225e0faedb2d3ad58,1
0x1e8a2bcb241d3ad860c95fe200c2cc6aed1fa5c8,1
0x5849734d2e3ada23b64e12311adfa6bcd6fe687c,1
0x011a6f601ac7307a8e091e7d62b14b00802af217,1
0xacde31cb0eba050dbbe499051a2f5bd9feaba60f,1
0xd83e662b83880081741d0e810c3fe8630fa6cb4d,1
0x2117bf88b4cb0186eaa87500a045fc998290e42a,1
0x4f74381834616f17b86caea2de94e18e3996e5a3,1
0x8822f60f877cd912bcf3124532418913712e1516,1
0x1341df844780b66af4ccc98ae0f34be87eabe1d5,1
0x1ad3dde7cf886536b4a8d7f5a2998577c4bfa48f,1
0x62050220633afe524d98fe3fccadbeacc2b96110,1
0x83b97b9454d90791480cfda42c01d461d4d4eaa3,1
0xc2a4d3ffc69391f67cd06c62813b9d8117019797,1
0x9699ca29b2a70c5f7c2e0cd3f173cd7a4c75202e,1
0x533b9cdce87facf35c4066f48537660bf2bf16ad,1
0x18faba48193595f040e11af39c6e3ec3f6ad7086,1
0x09b50000e8366309283f2733e6fb6ab59370c9ae,1
0x4f7106c4c161e138b1a39f47c91c4f1043437fb2,1
0x23fed2634fdc629c1a82eb6ed3391efad2a58670,1
0x4b2ef7127640964bf5cef3d1bf8d8f72d8d386f5,1
0x71042c2a74bbc93ce9b8d4eb6b42fc6f07ef31d5,1
0xbddb878b393bf91f8d34b2edf7087ca529e3ccaf,1
0xcdc021f199895816d3f3c0fdc3e843590b5cf00b,1
0x1257ea6f17f3bd82b323789cf08b79191cc82b6d,1
0xa04d7b651b72a6b9d14f53a92220ea06bfff2dc4,1
0xe99c714d1d649f3dada0202d4728e1c424730b74,1
0xbfec9ba7567320f2548736cd88b3132dbfb373fd,1
0x57798ea2de5e864959a3f00a12f9224147edf7c8,1
0x71a0496f59c0e2bb91e48bedd97dc233fe76319f,1
0xb0e5ca05aa921da8b194766341ee6630f4288e98,1
0x22cd049c57f070fd6bde748e493aa2627621ebf7,1
0x7ebc6689843ca9212fb945830fdc248c436944e7,1
