address,token_id,balance,contract,name
0x59968c2c25faf934664448f5ce2c022fce0b9398,47513,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x1f129ab5621ef955e5c4a8b98a584af835e18101,60264,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2,91966,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2,97676,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xb9ad9d091c6841e640dba4cab02baefaf1134cfd,108710,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x5ed0f666e6c20f5eeb2214514b56df2adc47a0b2,132755,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,132926,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xb89d68928ecae680c0a5b0444e361a5b62f69554,1,1.0,0x5fd14c86f3dd361d7df7ec079aecc15527f903f0,StreetsofGreece
0xf1f476f144df01480297dca47efca565e8b0c9f1,5,1.0,0x5fd14c86f3dd361d7df7ec079aecc15527f903f0,StreetsofGreece
0xf1f476f144df01480297dca47efca565e8b0c9f1,6,1.0,0x5fd14c86f3dd361d7df7ec079aecc15527f903f0,StreetsofGreece
0xbc2c2d0d64a98a1d66a4adf70cc01fe5bb14aca1,7,1.0,0x5fd14c86f3dd361d7df7ec079aecc15527f903f0,StreetsofGreece
0x74bfa6fc87e23d64451f5bb084b6fbf79f46e495,1,1.0,0x5a1d6ff91131b400a1cf205a04f6e4f6a76a66cb,InevitablePeople
0xb519095fb7f2438d778f44afb9cdc2f9611d85ed,2,1.0,0x5a1d6ff91131b400a1cf205a04f6e4f6a76a66cb,InevitablePeople
0xcd30b6de9dadb0a1598eb12a4ccf34b98c98c1df,3,1.0,0x5a1d6ff91131b400a1cf205a04f6e4f6a76a66cb,InevitablePeople
0xa5dce742f3775059d9406342d2ecbb0ff8e3a3c2,4,1.0,0x5a1d6ff91131b400a1cf205a04f6e4f6a76a66cb,InevitablePeople
0x36d4706d9d8a106d2320fe14c9da4a4d13cbf498,5,1.0,0x5a1d6ff91131b400a1cf205a04f6e4f6a76a66cb,InevitablePeople
