address,value
0xeac5f9b3cd48123a69fe69ce93a7f58100a56552,1
0xb00b18b3bf6ecc43e6235ee69424d4a220437a4d,1
0x64f02c24bb510e27b5eaec705eaa840ff7b4df15,1
0x15c69e9b03beeb7b24f976d33ade9027fa27ca09,1
0x8623a32af48544b055fb6ae64f33eb43edf091ff,1
0xa04f4a4b7306cb72f30828834db01699362a4989,1
0x0843e80240f9304f3fe7059f25f3e1a66886a0eb,1
0xb05b7ea3714a95857e45629def2b9c3577690208,1
0xcaa1c396e70384db58dd33be74b26fb119e98c3a,1
0xef15bd3f923245b24d64d6fbf57f036fe650c23a,1
0x48464efe55fbcae8ae0c992b306afcf21d4910cf,1
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,1
0xadd72e24a9e9117aa16d253cb421cb93b00240e3,1
0x367dc97068ab54ba1dfbfc0fad12fbcb7b3a0d09,1
0xc78cd2e1e8ad4a288eddafb139c9d0891ad01ae7,1
0xeadd2d51e75a8b42302adc2aff0157a4bf626adb,1
0x9b742d1e98e5bb2f4d50f9fbbc047daf288ffc8b,1
0xc94a284808e31b9ef43f9c9a48933e5a268cff9e,1
0xee2c055f7706b9dfcd98cd5a23d5629d6316c0bd,1
0x4c48d00997c6d23d6b47a9ce8caa6027d0068e42,1
0x22e8efe40ddb7f13b17b4c10f768967fc7a9f875,1
0x29c2188c6c318ab5cae4ae4b11a49edf2ec9ab0e,1
0xdf36b093cbc06522b68105c3d9141db188e980b6,1
0xf37400284a7ef5e9bff3667c8330a43e29432e1c,1
0xe418a9a5e49dde0d13e1ef51d4bfb7fcc51c28df,1
0x3876be5be4998adecbfbbad26604a762467e7f42,1
0x51a2d3572577b6c47186c82165ab8a61e046dc83,1
0x7be4e75da8a3be0430a139f7e344114057707bbb,1
0xce8ad80ce1a979381d209ac230d02adafb9fa897,1
0x248458947c120ca057ec028b3fe7e4b3f26fdb3d,1
0x8f160eb907a80517a3fa6d22f7cf20f552696a44,1
0xbc2ab46887142d546a976d56eb9a3d9da147ee65,1
0xea0ed16746257eb2bc11de2fefd63cdeece23a98,1
0xc2e8ed8cc0be70f91fc9aa903d5f4538719d7dec,1
0xb56ae8a727cf38f1f4716aeda6749d2af340d8f4,1
0x45360f55024132b3110166e1b327170daa2cc299,1
0xab3ba2d668215acd23f7da923683a5ed88bad625,1
0x557c60995797fa7b47be105227a2e46148d85750,1
0x536a8132f9a537b29e31522ad91aca66e69fe6df,1
0xef5ab90a44b68d4f5e3f6be6af4bedb12cd2c66e,1
0x8854b06ba346a703a3c043e2e7b8822db3ca6b3a,1
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,1
