address,value
0x4dc2e00c88b8c9e3c2bf090d7854770640daf27f,1
0x4ccfb98b20c3f8cc57f747a465969cbd11860ab2,1
0x54094671ec4b2b97063fadc34f98900b2963183d,1
0x827220c7f21944c42cdc586da3d703c70f0e8bed,1
0x354d746c28a22978195e2220a03bbbea4f22af5b,1
0x5cfab23d47598464747dfb169828eebde5e68ff5,1
0xcfd648eb66b736351f48dbd5a1752708371c10f4,1
0xc881ba24fea61d9c629bb7eb79b3b20392584115,1
0x8be5a2df6488b0937299d27f092716f4a9ab2fd8,1
0xef34feb024f0a6f4d5cf3a7cd30bb0f041a6af58,1
0x1986521f6caf7e3dbeab041e0578c62da5dd11af,1
0x6189717673e1ed5da55080d0898c70f91d2784d0,1
0xe5cd0fc813d020644c496dd964a32eb9ac17e50d,1
0x322e4cc89cd42e0468047c4404eec20096155095,1
0x3ed17a125795875cc89db18f76b851611636a180,1
