address,token_id,balance,contract,name
0xaf9e18cd797548220317fb459095c6afac5c33a7,36421,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0x6a682375545982da6d5c926dc65e3a8d360720e2,36864,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0xadbeee6b8760898ccb4c25e69ccdaf16bc17f873,36865,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0x7b2ad6af37be6a77c95556d9453e4877b6a8437d,43393,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0x41e399b9243bd6f772e30cf79dcbaba791143d6c,37832,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0xc04038c0d0b6ee1034cbde6239f71ff10b81bed6,38125,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0xaf9e18cd797548220317fb459095c6afac5c33a7,38581,1,0xb932a70a57673d89f4acffbe830e8ed7f75fb9e0,SuperRare
0xfbaa56d3f79800a5d9a75fa48e7299cc53906785,63750,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x01163f6894493f9ecb59c30807a1296b0e00cbba,69540,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x606ecba73e0550c7bde5063eb716e1e675a07844,77464,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x4e626e64b44a9f299da9cb006320297f870a8397,80042,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x92158120bad37251c6c845c1a9e399bece66cf44,82998,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,83219,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x834c771e04770b1f54fe13d258e5a640d78fba29,83607,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,90948,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x11a9583750806c3f521254c8e930991cd6139b30,95131,1,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
