address,value
0x60cc2c069a16f46748d837e04022434aa5ebb907,1
0xa21fed132341f41c7f96cd9a5cdb3965bc0b74b0,1
0x91c61c4d8ebf0e2b60d98a67c11fbd0ca2f621e7,1
0xb55ab020a74bf63504505ca65535b3549cffa857,1
0x369615bc57975b06c418f42d3fda3754a385b97b,1
0x10efe7195c7ca47b9b1e2da423fecae8527f5dba,1
0x426ad5afcbefee9d730d52160c0786291819699d,1
0x852f8a5c40901ea847ee4da121d94c49f9fecb68,1
0x4b43041e418b16bb7dcf94a09f721cc73574fc04,1
0x9def87925b80037cde5e81eacf6c416c09019425,1
0x2fff55556dec5ca31620572d3e8e193fef89379d,1
0x1502ff7eb4e93d05efae111235d373218a1a7394,1
0x858d1c1e6e954e65c88d1feea1beefc4c51b6e85,1
0xdd1b8dbc6c70b96942f8c446e01aa23de255f603,1
0x1bae9c27cf9d9b55d1b92aa3edb63e779f5dcd80,1
0x828abc51fb7c272bf0430874b557d3128c12cc1e,1
0xfb3eb8b5af7d9c38a1b6d6f4a4882cd07c85d2dc,1
0x44b402c5cd93962ae3d58f9d82ea84220a255180,1
0xf74d8ca88b666bd06f10614ca8ae1b8c9b43d206,1
0x85abbc31fdd045c38d08c500aa0a58d40ab26cd2,1
0xc183de5a256bcb166b9e9c7d359d14518e3a5113,1
0xc5296847e53f848c7075e18a9a347cadffb4ff70,1
0x230a017377d3fe43f214f80c612782609901b4bf,1
0x15848c6f03195e84e6a142ae4b4d56531150ff3d,1
0xa4ad045d62a493f0ed883b413866448afb13087c,1
0x4f7d60750ca31cc926e884049a644915bbbb0023,1
0x4b227869e62020b503d792e5109059397eb76509,1
0xb38526d039db76f9826debcdce2a1dcb90ef8a97,1
0x36f528a0ae06f49e4ab1e151b96b40f29604baa4,1
0x1fba0893b478fff6730f52a7ee96a7d180a8e5cf,1
0x578b076f33c021ca8ec8873be00c734559a99057,1
0x47917f37ec29f7572cdcfb89e08170470b23aaf8,1
0xdc16664eb6e783d88673e94867d59271d65d93d2,1
0x24e9cff25e1ab8fd79f6b3c444220e7a8fa1362a,1
0x340d0c58647f099b8847c9ec7663ea96cfab6707,1
0xff915045dd04514cdc7fc5519786957cd59d282b,1
0x97514adc2a161e3611bcd4dea0ee6fd5e1be8429,1
0xe41cef6a0c879f2ac8133a9439f255b489b56be6,1
0x9dc2d5ccd439ce00b8780fbea4b8a906fcbaad6d,1
0x63a48ebc90352e898e36ad097c6969042ef7cc4e,1
0x80fa7a1c1bc11e540e2ccbb01b62002109f6cb4a,1
0x4b8ee1eef0bd930c2277a60c839834b142b373d2,1
0xd191adcf09963c1b2ef25a74563a6e6695f56e03,1
0x039ec0b36450e9b2c5f59a3a6fe991469ac744f2,1
0x61d0ea212b35721e021f56094603165a92410c19,1
0xfbc39327eac60b8f613746ba8a13bc81189632a5,1
0x877d45306e8c7506e9a20c9b7a79bdda97c4e7fe,1
0x05be588dd9832ced05e11bfd84e0dc681394ab72,1
0x7946cdba33a84805a66c80edf408712611d1bc28,1
0x7793c7a405431eb11d9cc8dc6e415a262585186c,1
0x9c0df017180a74fa133077e2f8a69142b1742cc0,1
0xbb030a0408edc41f3c61ba3f132c06e93eda68f4,1
0x7935799cee02945d53562a052203dcc1f06808dd,1
0x2cae0ac9a7a7048516868aad672c49ab632b38c8,1
0xe7835fff5cd7d2f381a3f42adbb5f248574e6110,1
0x6761bcaf2b2156c058634d9772f07374d6edef1d,1
0xe597d8a65604b109510a6bdf3730e23d22e61482,1
0x31d39b5390d65fbd7afa5dc9fc26e0294aa06117,1
0x64db00c74af5c98b30ebdecb526964634997a7e7,1
0xdc7d0d897e1b7998c780d16b3c08482a74e71f33,1
0xd451efc3e2208cd15b3d95600e7123e524685dc5,1
0x59591576d0ae8c1bf05c02b9f0b7eeca7156378e,1
0x6016e42b51d0e9f29b0bf38b159115d0d079564b,1
0x2c858619755dd175ea81e587ce0103c0d6d785ba,1
0xd501583d907366541e7936ae249230b1caada4bb,1
0xe50661f180e6902e07e7336b967937c1a9541e44,1
0xd1acbe05a739c855f2c54f42f0f1e3df662da56d,1
0x0090e54d2ed4adb0a734df513612264afc56188e,1
0xeb7560598bb812bac00f2755ff20e30e96f64a53,1
0xf9167fca9c96f118c2f359b3cfd9774c98d98339,1
0x9aa2a0f4291b6885e187568261cc6f2a8e1eaf3d,1
0x4f94fa697f4eaa8c25a097fa0c9d254cdb114465,1
0x56577f982e2066fec566108f0a63f3d09555c6ca,1
0x7f0330ddd9e669bad5284f09f1a2e248141f0039,1
0x039774754cb19a00beb97049ac12e4df9dcd85e4,1
0x9ad220f1b5e1cf2e8102faf06687a3447183f8d4,1
0x97e98bc8faa00f58a33e04f33fecfc043945f809,1
0x5858eafe41ca64eeaf404c4cf511c24526bea1a2,1
0x9682d29a2e1f9c119a5e0a435e9e0134785debdd,1
0xe3226856a066638cf0d53dfc2de02a82717c57c2,1
0x126209e6095f9443cf5b9ad48d9062f85d541738,1
0x8576f39eb548c5d412491380fe7ce590c9444ab4,1
0xe1385ea3cd4aeb508b2b8094f822960d0c968505,1
0x7044f8a934001be10a5b0e9c7719d06f77a190ba,1
0x8e0d1eb717db12e764402f6bb1c53348c2b1e93d,1
0xee96703614ea707b0b99ecb55da74c04ff70f2ed,1
0x6f611af2d6261156349455cce4e289c899de1134,1
0xdaf6f334d49abf1065e6d1dbf5ea04f563d424c2,1
0x8502c288b36b0429329335817fce55b8fd0df026,1
0x4676b77bfea330dc545e7021e271da165adc1110,1
0xcc43c0febb9957531f16da46cfb10fbe27f3d0b5,1
0x0b16dd061ad33b866341dc3bf17264bd6111f10d,1
0x1082c5bacca9530b098ca46c3085be54b8c2e1e4,1
0x1a23c852ae41ca829850d82ce261a76ca4742a67,1
0xccdbab7ab42ea4e259ba871f2ae93e78c46ac8bc,1
0xe9ad34001dc35d84e611149a6d5be08801beb1c2,1
0x477ea7a022e51b6eb0dcb6d802fb5f0cfc3b4a81,1
0xff9a02fd5c20bd05f38583d361b2763561404e9d,1
0xd542c69f511c7d37f7d497d0f1e31f56ba01c7e7,1
0x30bc69d36190af10ca920058c5cf7ed8b7233dd4,1
0x7abd61dd2e154a7f2c8f4a6ba82f661553e069d6,1
0xf06c2d7607a73ed521abbbdbe79c1b8af48a6c65,1
0x32c445eac55d3aa4d7d6bee03f36b27ee78fc300,1
0x053e6294400a9268e35df445624f58087c7f388f,1
0xde1ec47f5f21448a5d4581717c2fb4c39f205579,1
0x3e2660019d20587861f2b3f77b5d733eaf8c9524,1
0xc4f733b593bcfcdd82e354dee56ad196c470dc4a,1
0xaa9d28dfdc86d5b9ad6cd1a6e9178230836d086c,1
0x758ca62a5af4e52baed9cc3f1d76511f27a5f76d,1
0xb8f61c06958e62ecf9af571359b6584e555ee7cf,1
0x71eb086e8cb1075d9f056d09485fd0b2f7b2ec9c,1
0xb3bf133950d87f84508fc64735ed40a4f2797aa6,1
0x853c210b5f6c8822823353cc21b65a32bfd6a75a,1
0x574b7f101c3a1dd02e05ca381cb5e15d684d4e37,1
0x2417f0f0ba81cb9e7c00791f60812870b0fb3e48,1
0x26a3a18fd3646fd7644a6631bd70c31e86471093,1
0xbabd6ad755471fbc26cd15b63e7cd20860feeb81,1
0x7621b711506ab43a2c27f3b353dc133c9db52d46,1
0xc9d483b27701a1299c09872b813bf9cb8251475a,1
0x8d4daba34c92e581f928fca40e018382f7a0282a,1
0x4069d163d9ff94f4e7025f28ac3f3c5df3f7a149,1
0xbf057af2c08cd61c9449de0b3efe826a438f2393,1
0xfd3b543cde56958584b2fa9ac69a8a998a90f15f,1
0x1be3b32df09da361787fa76a67044f24c28d35d5,1
0x9d7f9c2403b53d8f99c66a71fa1b6b67e848a0ef,1
0x78f2b3c09cc4bb9d1698166c4314c52d44355626,1
0xee6054fb988fb540d7daabdada24fe627d344523,1
0xb2f1a288e6bf497e3b41adf23a4a89896069d1f6,1
0xa6f4fa9840aa6825446c820af6d5eccf9f78ba05,1
0x21cee4ee395cdd13d5b2070a521ad6fc0cbbc426,1
0xa0bdf16f3c91633838ad715a4bc7e8b406093340,1
0xb742cf868956cd866a77b2000480c61cd0e1ea13,1
0x01447d58f50f97ca33d7b4398ffc548df17a79ab,1
0x77b52cb4b739e3e73585635db11b61910bd9cb23,1
0x84d77764edd3bd8b265c110c2c4813d4e62c024a,1
0x5b049c3bef543a181a720dcc6febc9afdab5d377,1
0xf613cfd07af6d011fd671f98064214ab5b2942cf,1
0x77039399801f462b4ed13444a266b16355c471bf,1
0x2ed364599c727a3712679341a4863c6151411ffb,1
0x159e7d87415c5a1217c27f41e5cd6512c5f29e0e,1
0xe9a86c20def2734be53c51ba8f4abb6e0d1c6cd3,1
0xaba86d414711afe4d04ce0e44555390de0608d79,1
0xc0e33564e04b9492b0e54a1e46acb29c9fd5542d,1
0xc4fa73d4e1dd3ab3212501148c5235466fd01bfb,1
0x7030285f4c1b35dcae20218ac6006a8e90f55de0,1
0xaec3025aabafc254ea517bcc1015c29411987a41,1
0x3d826e692d336578bd4e1a4b7ba57aca8668c79f,1
0xcb30cc9abc2b3b4aa72a6f42c968d632d58547a2,1
0x5fb8b9512684d451d4e585a1a0aabfb48a253c67,1
0x763c189d29de29090d80110928bfddfd2ae0eceb,1
0x0076e2bfa650442e5797565ae6ddd4f2729ecd4a,1
0xeef8d79ea7fa174b7a0445ddca8b87f591c33d54,1
0x148440b216d4089d7b660a081499807ead9ec3ea,1
0xf3f3bed9e5c80a23255404c8841dee0db27f35cf,1
0xa74e85f71a3db9a5b482dc28304edec6be4872f4,1
0x576cd0b6a0291608ced7524e17c4241c7cb72f53,1
0xaf4c0da9c2d9018dcc55b8cbfb96fb9348b61765,1
0x9b97b2478a461376d1861c13161e2d34ff643bde,1
0x474b6c2366128eacaea1b6e411171c06b49bdc97,1
0x9a406a109fe2fb8b239c72808f02c8a114faa209,1
0xbd1c32d2c3b3f600736d244c56806ddb5a190b8a,1
0x48aae1669d4cf7988a227b3d68d9d6e9f02840ee,1
0xdc07a4e660388e5ae9749c41ada2721809d4066b,1
0x0bec3814299608b4a5a50b1e7c25682f15ecef59,1
0xfb8f81b61cf53ec2a5ace5627a76bf142df99b1f,1
0x849252121e0a954825bc6eabfdc2aefbd7b350bd,1
0xcfe2a8ac0ccdd27047864278748d1ac178cafbd1,1
0x15beb7d15eae1613e30e9ef016036158c9419acc,1
0xfb20ba83b12d48ed72957da404249f3a5b23cf74,1
0x69d52023178740a87b7fa05c9b8921791a4dc0ca,1
0xe91a7012ec1c170021b9038dccbda484924c1354,1
0x09414b7639d17dc41538fe8c7852e6a17b396c2e,1
0x3b9412afe69f2cbee546cfeedd5dfa1549bca38d,1
0x7e5faffbfeb8f7a50e69cb3c3179cb61eb087198,1
0x7b051a77e1b793b5809cc83fff1765db16e8376e,1
0x8b0e5d5df0dbb29b903954a12d6bb752d8af44b4,1
0x2ff7c7a11e68d0fdedbc1dc4e7d22171d7851aac,1
0xe757970b801e5b99ab24c5cd9b5152234cff3001,1
0x5f8d97f2d7f16194e84d560ed3ebc54187f0a1d8,1
0xee9a8365b419cbf863e4771b9d4a5b4ebbd010da,1
0x66852d723d3fd18dd6936de28339417f3e1cfab1,1
0xd9d836ebc67abeec65b29e586f89816dab991f69,1
0x704cf202792341d79a9fd6dd97046aa7ef3f4319,1
0xc2e95f71ff7d20d94b2c847a4947a6fbd555dd29,1
0xcdd4b022244c50b4e81acf6d91eec40a45d72ffb,1
0x74297c03a8135871a6502141559e9b4c7e7148f1,1
0xe82cc13dfa89cedb6a899390f8c35d36618b94f1,1
0x8d028dc71b347268d439432349b55bc27989851e,1
0x105e05865b819f91b05eaedd88e4eeec447411dc,1
0xfc2ceff32e3a534b78c729fd23973cb9ce98fbac,1
0x549d16f455a100776c0b58726d669f26e529ea21,1
0x42310fab141ffd8c5384cbef62c8b9273f4339cc,1
0x19c935f591b307139e3766b79b8179c99066bbdb,1
0xc9832a236307dfb864e6898745e7bedc636bbc64,1
