address,value
0xcc946cb041c7d0a7493c9ea639353bfb70595812,1
0xf45cb4d901541000a9513f422532bfcdf1612d2c,1
0x7b858de2d9f5f5f7ceb2b59a2a6c0638a6507c00,1
0xb4496906d6ea2685e7a46a14baefae9fe3bf0d2f,1
0x1e6c02d4f25dff92b8355abbac1b9522e0a7e8e9,1
0xd7b03000928f4a603b4e8a58a9f0c3f6587e3057,1
0x60a363530ec7db4fe74f5ebe62c337fdca8efe0f,1
0xbb102b973d602bf0678a722baaa596d664781f5f,1
0xc488a367114936fabec388ed9e67810691c2df37,1
0xaad2fea57a22262ffec3bc917e11d8e493d37cf0,1
0xcaaf72105cb8dd7a1234988a635e243e1621ad3b,1
0x8d2a43ff7e015c55c2be316a52bec176a4328a9b,1
0x1fc444e3e4c60e864bfbaa25953b42fa73695cf8,1
0x6c621408f102301804b96c05dd51f13a58d22fa4,1
0xe10f736985a42ddf342f75c83e0fa457077b2284,1
0xac0f787d5eb1f44832ecb14ce1ad3382088e63d7,1
0xef80395b4943e1741c92a6f2119eba58cfed889a,1
0x56383a5dd01d413fb8b38f2d0fcef5f511f1dbb9,1
0x45c3d26097f723658860a5c8cec8e06ee23a9014,1
0xefbfc695b171ec729ac92e7e2b0dbdde3fe201c6,1
0x1c3279b9ebf11f6fad79f49cb91a510460058744,1
0x99d3aa3010b1d90d0c2f4c12a07ab6755b07bba5,1
0xeee899b6521db73e94f4b9224cdf3db0010fa334,1
0xd7060289c22fb47569aa287ed4130a553f1c086d,1
0x205a46012bc3c1a2583fdd426679dff276fb257e,1
0x49d88ae128da4d3332ed2e4e45212c2142f24488,1
0xc47faf99100078461a63864f50f1315b6abbd5e8,1
0x632152c94561bddb4270dccee389cde49ce3e4c0,1
0x10c9cca806ba4a8f580ffedecd9c2e8a49e6ef91,1
0x2206445d241ccb7dae93b2d2acfc67f75b90fd76,1
0x4e514d9fcb58503dba5bb2b0f477792c03c8426d,1
0x1610634c1fcda56b9934d67f885b30dc73f938cb,1
0xf181990c06ce731a418aba46ed95db26f7fba9eb,1
0xf737674eb90de5a376cb947bfd6e8f63635bbfbb,1
0xac7c12f4057076d547666700cfab976a12456774,1
0xfe2e3e999bc785bb053c85688da6daa4a19eb0f4,1
0xfe504884abd05cb7fe828afb689c06e2a5b4fe64,1
0x79bb5016e87ec437be4b545f035ab9224a6e156d,1
0xd86eab09bb728c6df320dfd03f5a5390e0990bb6,1
0x3c71982c02b15418070ce1a53a1d7efb9500aa48,1
0x4ef33f32c39796ae02c3ec21656ace134bab73e9,1
0x07e92b07f74a3d021534e2f0382a9054411b8b2e,1
0x1b97faa31777ae0f250be8307673e8875559e44e,1
0x6dabac4d3ec4647158e2dbc44eac8995ee1fa1c6,1
0x647eb74a5135a0f24beee3c2d8432adcbb32c2a8,1
0x1b59628a95a55e374b8ff4274b4e88372bae9484,1
0x311eefb3864993fcc3140e4284aba29615368bf9,1
0x6792ed1f7e5a22b9403bb389156c742d5f2d9d6f,1
0x32c880a0cd0a0c1f4504458f8388dd771d39bc69,1
0x5022cf478c7124d508ab4a304946cb4fa3d9c39e,1
0x511ef2d9d1b08b0bda6770448aca66df803998d4,1
0x9795a9baac2f17e7c7f11686bc6bc2afc3d84612,1
0xb2e8b925f99431e2121fce94df3d4f7c73823886,1
0x98fe967044e428cc279160435956200b14896071,1
0xe941c022f3a890aa2ea84081d6b5aa3b4f244850,1
0x95c6d0f794b9c629c94b1cbd9bbf4c290d326f99,1
0x81e388d5139f109e859f38230101e4f8b036d8e8,1
0xfe4da73ff6543b17b2b18e0e5d94bc87bd79f527,1
0x6ce9faa7d77291eb6495541be1e8adf28f9f04c1,1
0x1e36a3a437d6dcaf052a52848eec5e012934695b,1
0xf61b873a21d767ff0506e8b2630c4dde7216035d,1
0xf91a1142d9e4910fb5e6ea3b965440a1dcef12fe,1
0x286cd2ff7ad1337baa783c345080e5af9bba0b6e,1
0xfde36cbdd65160bd83541f060f44dbafcf0a0ab8,1
0x311d07b222519bff34bd42c032478ea98b5e6eee,1
0xa6c3f37c74e753777fcf535ff9e9f2c4030c9184,1
0x2effc23a6f165f63ba9b15cec0c30b03486ad10e,1
0xf1339ec6a48c55c2f80157778f85c1064d7c77c1,1
0x66533dd5cde19b4a79b4d394f6272dc4612b1abc,1
0x6c2d65145b14978a95d14c8ddc5415d9fc447910,1
0x10d6e9db744693a9647deed5afecd807153ee5b0,1
0x5c21e2ca71209821b95a8182663a64569aa8f822,1
0xc2b68a05f909afc2aa21b13b01134a7ca8736229,1
0x8488f78d943cf6b5e1231c5370fed186ba7a3044,1
0x7c76cf8894d42ed11b53236da54f05add1d44073,1
0xb79f550b3586e3c75f1cc57dd81db0ec10bf37b1,1
0xab0e2f3c3c29deaa7c3ca0dacec97a33d5c26708,1
0x31e7bb24ac5e3684345514206d1f2fcdbfed557e,1
0x9af5c0a2eef61a4f6202532bab6a6485fbb6a287,1
0x087886a2aa1e263bd72eb67a365d268a3e13c85b,1
0xae6be760022c354a2bc5e79a57634625c60949bf,1
0x80ec8c4e035a9a200155a3f8d3e5fd29b2d8ca42,1
0x5508ee93c62505a983bcd927854d1ca329e15857,1
0x1efc22a134a410fed4439c1b11b010dbeb8bd5d3,1
0x7ace0975254b6dbabd0d79438af80b2a736e1a36,1
0x6fb4eea73ecb50d1d7a060c957967d0a7d379a66,1
0x1d522bd33cdd1f60be71b0b7b2efe4e9f20a5263,1
0x2aef0a84308fd2f40eed5260b126411e371e970f,1
0x473a17e00cebeda446d43b1136e8ee9d122ac249,1
0x0b0aac968fa73d8f1c26a673c14fe1cc3620bdfa,1
0x34b93462e65303f3857460971584fd0d908f2f45,1
0x36c246d67dbd8c5c2988091bd6626440db5424d2,1
0x4a4f1c998b89c0dc000983ffd997420dad282ca1,1
0x9c8d8642c20b568f9eb4248cfe49bb220451dcb0,1
0x14f8c1f8e31cac72e3026700ab61dfadb31f44b9,1
0x20091f925b2dfe7e9da692c4dba8b6f39190c6d7,1
0xb6461bf5223dfe357745895ef4473024e9dc2e20,1
