ownerAddress,value
0xb5374cac6cad6b025246f19d20b0d4151b640558,1
0xb6b4a02dca517564eb98790ff67d42b5b37a3d4e,0
0xb6b4a02dca517564eb98790ff67d42b5b37a3d4e,1
0xb6cf25f5cf8a1e1727d988facdd47f1dfc492caf,0
0xb6cf25f5cf8a1e1727d988facdd47f1dfc492caf,1
0xb735af7ae1a77d1ec764c862c2c09bdbf2b34b27,0
0xb735af7ae1a77d1ec764c862c2c09bdbf2b34b27,1
0xc2419841dcb9a0f8906d06463ae24e00e1470846,0
0xc2419841dcb9a0f8906d06463ae24e00e1470846,1
0xdb561a899557404581e6180fe6d4178577dc117b,0
0xdb561a899557404581e6180fe6d4178577dc117b,1
0x59405cb53fb84706f3c4b522c57d71f125fe5182,0
0x59405cb53fb84706f3c4b522c57d71f125fe5182,1
0xef5ab90a44b68d4f5e3f6be6af4bedb12cd2c66e,0
0xef5ab90a44b68d4f5e3f6be6af4bedb12cd2c66e,1
0xf2c5f1fd977dbd6de9d04bc4e62dff722d4bb1a1,0
0xf2c5f1fd977dbd6de9d04bc4e62dff722d4bb1a1,1
0xfd22004806a6846ea67ad883356be810f0428793,0
0xfd22004806a6846ea67ad883356be810f0428793,1
0x001e1826c164dd5d439b72f2aa837848a37a88db,0
0x00430ed74173cb5e61cb3d7e25b35a9790d8c4d4,0
0x0055cd5f017027d10adf4f13332181e6d8d886bb,0
0x00acf1f79ff43b1ff5b4ff28b537cbf27445869f,0
0x00e5d15149ee3c1ccec40d964471990aa01ba904,0
0x01072faa900f4ca3b40944ca815f39837bce193b,0
0x0108f918d430758a0b0d8cb8c1e30bf29e2bbc9f,0
0x010ec8fdccfa08408c45bae507eee0b8ce52306c,0
0x014d48e26595657ba28593cf940cec84e37eb65c,0
0x0163a6a357933eb6838023fcb06f0ab60bc97934,0
0x0184df2afb9845c27504419ac7d5efccae41b951,0
0x01e638b805108e7a2e928a1b0c263890f017a3b5,0
0x02009370ff755704e9acbd96042c1ab832d6067e,0
0x022a2d14d972e0b135bc3b47a324e23c690dd4f3,0
0x024e0c1879db65cf94269dec6461060a181dc1c8,0
0x02567d98dba79f6acf3798521fb517aa6f40a888,0
0x0297aad5017b07fd7983d729f90e687cde98f8d7,0
0x029acd49d3aabc08402c84367c050dfd52b6c566,0
0x02acb57384d82c6f0875030032b3f248eb46b327,0
0xe840fe7f29e61e2dbc6a7c1947e51fad47f20b5d,0
0xe840fe7f29e61e2dbc6a7c1947e51fad47f20b5d,1
0x02fbd51319bee0c0b135e99e0babed20df8414d2,0
0x031904c5bee1a54d06e42f59429fa49d3f9bc392,0
0x039d3ece7a18986661fb33d1e3e1f6a30c7f93e0,0
0x03ee832367e29a5cd001f65093283eabb5382b62,0
0x03f0e71ac43276fcf0b327b1abe8cdf5974aecc1,0
0x04173063c0c491470b735954790f94ed307aae9d,0
0x042b4e01f6ed950d0091d564bb2d03792a274212,0
0x045ee65e3223ac85eeb05c023b89b0ec2ed57cdd,0
0x04c1c15a1554891fb2dd7c4939e7d95d06ee253f,0
0x04cba99bf19958470d03be77fd1936c1ac73784d,0
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,0
0x050e55ae34c8baa658305f084ca8c5d3e1db7092,0
0x05503136f1063e9669764e10c1700ef6a910070d,0
0x0569d64b0a6e04cccba4e03e0dbc75cd6f0d52cb,0
0x0573383fcc26eb066010d28d96ab02f7c5cde67b,0
0x057931155d0c6355b1bd108b0fbfe9bc77d59ef0,0
0x05a13dcf55ea6d532f15284f39e02811fc183a8a,0
0x0637213177486b93a4198719a49751d77af0b43a,0
0x065c84641ee62d032ea5f20c49d59817c87a2747,0
0x06fa75bfaa972845e7d78a6d928357f15a341d6e,0
0x0716620e0a3da5ae123a9eb56e7874b1caaa4f33,0
0x07219c7136f49847a6be9fd1ce27f8afd6a074db,0
0x076097cf460e3b5fc3a94c43d9a598164bb29168,0
0x076b9095ef620081568853f8e8405dfc5e13695b,0
0x0782d653c142193e7d35c2bd4ef6357884868d1f,0
0x078cc4caa131eb9d6d3e31847946d5f37fd3f58b,0
0x0793886abcc2e243d890df1e76e1b84220f25615,0
0x079a968a08b786ab238a028382d19180ff2c426e,0
0x07e34a9ccef73d5cc36d89d6767e3760658340de,0
0x0843e80240f9304f3fe7059f25f3e1a66886a0eb,0
0x084d54bc4ed9d856b9d8fa79accc79a81ec9ec94,0
0x084d8f345501e0a1ba31b9219e999b38ea074931,0
0x085d07d65b41158a1545eecf05316edb5d163b54,0
0x089195a905c8d11a22c977aee408d8a694bcdf18,0
0x08942872046fa44bc6456e491e8de11de8bae73e,0
0x089fce8be711cabc806d69b1d0d5aebd52a06455,0
0x08db792f0dc2492c67ba901adbe136e76648341c,0
0x08e146bb525bd8391a4e22e665325de0f499e9c0,0
0x08f8070f1a17791dcfda507d2e1a47bd78b6cdc6,0
0x099a3fc56b898696764e08829e6426fac2308cc7,0
0x09b2f0988b6d24336b348c84c2764d2b4f85142f,0
0x09c9b389c532bc182bdc15ca831edfbcf6beb955,0
0x0a386e172de366d03ce8da32f6b88ab0cf99b893,0
0x0a633839d23c07c96bc30d413ddf34fac95f9718,0
0x0a7c0063fcf7d8411333ddbf93b0496236684fe3,0
0x0a87cbf5eec20d8d9880ad21f0260522ff5a675a,0
0x0aa78b747dfc137ef96b428951ebe32f9ac4efa3,0
0x0aadeef83545196ccb2ce70fabf8be1afa3c9b87,0
0x0ab3ae680fe03a931ac9827a5853bf9a9837f502,0
0x0ab8c667b5c18fae4dbd8c76dae71018bea2daba,0
0x0acbb1daf9d356eac9467e2171977de623d26490,0
0x0aceea7577fdcedfa1d60588db15e18b8d763f3f,0
0x0af5cfecd1b1be7cd808bf466470db20cb65c51d,0
0x0b358edd6e7eb4b38af3ddd7fcea775254602532,0
0x0b7576a64a0f4b4924d55ed328ede4979446521b,0
0x0b983c0502ccb2dc598847b467a1b36c1ae8d8c2,0
0x0bb754c2082e384586cc19234c157ce1d081c6a1,0
0x0beda5116cd204c428379b5d852dadc04f3bc384,0
0x0c481cd7d09bdd222351d52622d272367cb3d159,0
0x0c48a90d2b32ce92a04e4827562dac41e97a8be4,0
0x0c9d4d222911f3930ba6449df1f75541cd3ecba2,0
0x0ca4dc095608c6b153019f734106581c85f2dcc3,0
0x0cc77f72bf8a447ce3c4231ed97991b238f10bab,0
0x0ce390f18af702cca546297845a4a51d102123cf,0
0x0d045c9f200048bbb54569270e1a87ad599f6a71,0
0x0d08c74268c1260d9b50175c41738e1a45819700,0
0x0d49acf3910e9592aab4b2d06ad16613c97e0c80,0
0x0d6b4f304b91a3b67b1db34776ef7e95effbc729,0
0x0d6ce4f0e1fa53af3f624e17da5f47791dcaf70c,0
0x0d7661a7b7a89b40b6db128900557e4f1d1b3789,0
0x0db7b27b7a3ea8035d3f66f3ba7532221ef06abe,0
0x0dd54b956442c3901229916cd035f5ff8b737ebd,0
0x0dda698d2fe2fc1fb8f5b54ee9cd77fbd5a1d08b,0
0x0ddfa905aaddddc533bff695316979c0bb2d9eb8,0
0x0dec2c1f5825755d90748792392101b26cc6046a,0
0x0e442c7d7db830276ecc7292bc57456309fe1522,0
0x0ebe5de476d0d4162d7f00c73a2851b31b202148,0
0x0ebf701d5d42f1fc14043687290da575f905a436,0
0x0ef024d299cb56805f2437cd00b8a361a7b06d54,0
0x0f3c76ade30adf61b64d01154911308491784dfe,0
0x0f574d45d73f5c8f4189ccf4d98cd22eadfa9532,0
0x0f7a8ebabea76a2ed2fda765430c060b6d8c5d57,0
0x0fb4e7dff29c22029975373d1bbf5873ffc3c61a,0
0x102cc1d37a6b4f259a61d136c54575d40daa7e42,0
0x10bf6c24b2f3b730ddf724ecb9a8c658751a7da9,0
0x10c9cca806ba4a8f580ffedecd9c2e8a49e6ef91,0
0x10cf494cdbceb726d21703d21131e131ff03ae33,0
0x10d1808bb5cbf4cd9261c758d7e1cf7b7cc2f22c,0
0x10dbaa70bc06a3d7767b9b7c7fca894bfdf163a6,0
0x10dfe5ed945fbb91b49ddd1810cf267420a8062d,0
0x10efe7195c7ca47b9b1e2da423fecae8527f5dba,0
0x11267972b5ec7554fe1b315390c8315f91c4826e,0
0x11267972b5ec7554fe1b315390c8315f91c4826e,1
0x1146a21769f81c9f2de05eae4dd117241b17d3c5,0
0x1157ae6204947fa577d93cc833dd72de2c34bd0c,0
0x117dde66c2de2979ba4619d8d494fd20ffe96c2e,0
0x118d6f5d61a9d881d452510f29c703abe9d80cdc,0
0x118e3472a73e72dd85cff8ff09fd89dd48fc4733,0
0x118fe7cec5f26a7c50f6c5bf732f0e6951222ef9,0
0x11924c505ecab6a2434bdfe94bc0ff1ca081facb,0
0x11c35e301542a240b2c8ac824c5b47f79299c19e,0
0x1234311096a5d59d444d4ffc42b16b0ecb83b9c3,0
0x129c6695dfe7a906bd8fda202d26dfff601f83a4,0
0x12a0fc764430a24833fde0310fce8071e1b5da08,0
0x488cbc938350ed55e5e7be56e98bdc06eda00695,0
0x12efdcbbcdd6695109ada38e33c56173c2ffe2c3,0
0x1365d2e329df3785e37ffd88edd934033e8ffdcc,0
0x1370006e1416c3651f1bce41370804a1868c5b3a,0
0x13722725d7ed86b99d5f7fe5cb4226b6e42e7d41,0
0x1379aaccf761490ceba36b6ec572e5dfca48273a,0
0x1391d2ebdf6022cfd0c65d7bfc88f410b583a050,0
0x1423d7ba74817a2617fa3e69b609a54e4daf6f79,0
0x144c704bf25f1865e4b24fd6596ffed7d92470b0,0
0x149157a39b5966410e018c97107c641951e72ddb,0
0x14d8f85750808f609614d7727596bafac4471547,0
0x14f317040944261970aa6ed3909b15d67ea96889,0
0x14f6099b662dd481e7662d30567e130024e98742,0
0x1513f6d3e5468a3a7c4f6b26ffd123cf0dbe4893,0
0x15313380d80908dc1be59a802ca5b437f0f21851,0
0x155d2f94680831f6b2aa97336dc5fee7beab421f,0
0x1593a9b67ed8d80c9e45081f2a30e675d2b3c002,0
0x159e5998669ec6628a6b670c2ef1ddbd93084698,0
0x15a33852846b4762d71a62928aa7c64d8aac8544,0
0x15a86d3f6cf03ea92f395bcdb78659cc188d6380,0
0x15ab7dd2261026db55623d0da3946a3e022be19f,0
0x15b16eb2212336a44ecb169c49e5bd55f469410f,0
0x161a2562960f75d92fbbacc6abdc23fce9e571b8,0
0x16257cf909d5168eeef9083959edf9984304bb01,0
0x166c9a16c8b9fda9d69950f2cd59a92b34b7954b,0
0x169d78350f929e5632c829e18814d69b38ecdc7c,0
0x690dabe81caf23ff4f855d27785d01da66ede8ca,0
0x170fb8f8f37776dc48184686dec386d2d1c41cc9,0
0x172004734f85b1b6e3954c2f201dc4beaeb80c65,0
0x1732fdc4b72083815f181aae616944c8edd82e11,0
0x17b2c6dc3d2f5faead8135addae008755092a9ee,0
0x17dbaa0b225fd4039168a46bca737606326e4618,0
0x17dda0d374bf4246fbe320be4688be0d945f6812,0
0x18302a9b14d7340f770fb85ca623f5a9a2269484,0
0x189d98f9aa1c464b2e91c3f11c4a1fe31f6c4374,0
0x18ccc241cce98a67564e367ebc1f1f0e692e3188,0
0x18d53550ac185bcff1beec179bb46b4c7b4e31b1,0
0x194eac8180177c5261df925b872e0b29ced2f54e,0
0x19847a32b0eb348b006c79c1fb2d3ae1276c6028,0
0x1989e01962646dff41d4994a411de9621bba5580,0
0x198e363e2e7d58f521960e4175a7dfe0f59936f2,0
0x19989297b5641de9ceac8a0ca63ac384cf3a633d,0
0x19cd1978d96d0b9f00d08ed386b911659f9a0088,0
0x19e7a132bd4b42f580f546197f42e19c42cdfe6c,0
0x1a4280869e14004dbfe81d1e8483c8055c9ac4ad,0
0x1a63faeeaa780c1dad17c5fd1459b958c0ba1b92,0
0x19d4ccaedd75ef32ba76430af03e27cee010606a,0
0x1a8e059d53bf0f50983c4e03e4931e8535b1aa1b,0
0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e,0
0x09c52c99e701304332b5998227f07d2648e8a72c,0
