address,value
0x608d68c29f5b1aadad592c6af035891fa09b73d7,1
0x44022a7eea59beff273e0d033d76884fa6da0822,1
0xcc71dac21cf694648f73a191d675aa5bd3cf5ac7,1
0x4d9beb5a48378acc8619e1cc8ee6a1af53379ae4,1
0x221320d34800760e06b206acd01e626e463eb03e,1
0x2e53cecbf0a006752a0bfba76d3416812b14a2de,1
0x1b551cb673dd5757501b85ef2c7008064fc655ff,1
0x6f04833195de49ab7021c76f6c756ffa41cad262,1
0xada53dd3c03a5b20dccf8ee6615cf31a94c8fa51,1
0x78a39de1075dc959997374fb1090a4b9ef569603,1
0xaf9e18cd797548220317fb459095c6afac5c33a7,1
0x14a281535f2f5828d695f1fde223e58c6a12b8d7,1
0x5f73b065c8412b43e3db33cad0efc5038040a597,1
0x220b671f9688a4ee960910f83508a4c27a2e12a2,1
0xa199f8ffecafa4f3d500d3ab1d1c8e0b49c9dfd0,1
0x62c5ee7bcc0e336bc58fc2946bb9671ab2878f7c,1
0x23fed2634fdc629c1a82eb6ed3391efad2a58670,1
0xd92df6b7fe238fe2c14fdb5816eebcc131b53360,1
0x37981c7a3df074b18b110f5e36ce94467ef0ca86,1
0x0d53aba24d961c60a12bd7bbd0c5bc28df00a600,1
0xeebff2d3f395aaf95ac43c813290ac75711ee28f,1
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,1
0xa222d6b50db57a3b0052d8d26cd69e73313376e8,1
0x4187ddd9340689c8e4a124b7532fca0a13eb9511,1
0x22bd04906e808196b19f7d10463fe463ed5f88cb,1
0xe0b43c8426972f1b3113c0ee0ea835539ec8d3dc,1
0x749e0084f6c6b6966fd08ba0b543e9b2c36dba7c,1
0x43d3026ab05f1fddfb5621b4f5b35908f9b43890,1
0x769ad932fbe334ce792e7abca81b77a602f8898b,1
0xd7f85684204a9f8787ba8775d25480f4d7033767,1
0x05d2e466b841fe014e1ce2d1f826707b15f8914d,1
0xfc5446efe679f109f2772e45ea623caa63791d5e,1
0x498d18b5b3c0b7f56635f3f52d4c466618ed21ad,1
0xa837c3d5fdfe4e878a3f8370df89cfd972b116e1,1
0x365f7b46973f27740c08a077b66ec810cab39306,1
0xc3969e98dc0fd5652f18aca65eec124d9b8e437c,1
0x4fd9328511776b0a182b402d244a395e1e1841fb,1
0x03d0954791e896b50d0a90e13c9802d30ed95141,1
0x9f04277994be82e9c595e49d5ae1539ecf4a5528,1
0x0bbcb94f7036b3606c1156c5034e68a0d120fec2,1
