address,token_id,balance,contract,name
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,14,1.0,0xa56fa216629b04376b03163b9461818c8f8b9c64,SuperRare
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,20,1.0,0xa56fa216629b04376b03163b9461818c8f8b9c64,SuperRare
0x30dec07af807a47c4c5a2ba69a22738831f002b8,22,1.0,0xa56fa216629b04376b03163b9461818c8f8b9c64,SuperRare
0x28eda986ab374ca5103b8cf05f72e6fdd0dabfb6,69,1.0,0xa56fa216629b04376b03163b9461818c8f8b9c64,SuperRare
0xbdc4a5c0ff7275736cad102c7408555fb5d6c495,63453,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x2ce780d7c743a57791b835a9d6f998b15bbba5a4,68054,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x564a8e13d7dd23d5525160d204165bdbcb69b4db,68221,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x8889ebb11295f456541901f50bcb5f382047caac,75676,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xcda72070e455bb31c7690a170224ce43623d0b6f,81659,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xc6400a5584db71e41b0e5dfbdc769b54b91256cd,93570,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x8889ebb11295f456541901f50bcb5f382047caac,97237,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xab4273e7137f9531fcb47d558d9bab0e726e6937,106161,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xce90a7949bb78892f159f428d0dc23a8e3584d75,111389,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0xab4273e7137f9531fcb47d558d9bab0e726e6937,127215,1.0,0x3b3ee1931dc30c1957379fac9aba94d1c48a5405,Foundation
0x888f9b2d893356de0d2e1f5ecae7f1ecab8b5b3b,2,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x8850431bbd96eda2d50f371f64b2407ad4de4d87,3,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0xc6400a5584db71e41b0e5dfbdc769b54b91256cd,4,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x4307eea49213f03bf1f6410f3a17b6445fa92872,5,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0xa24111399b765325e151f5f4cd11197cf4afa9b2,6,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x618976ac08a1c947f48f1dcb9b6f04cba4168cb8,7,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x14977b0dbe7e155f9907effecbb70c9b7a05e737,8,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x19461698453e26b98cee5b984e1a86e13c0f68be,9,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0x14977b0dbe7e155f9907effecbb70c9b7a05e737,10,1.0,0xaba105cb6f11550159273fc53ddbc7b96f141cbc,Foundation2
0xb0bdd53b627d7e61cfc5c13ef110e47e210fac6f,1,1.0,0x1ae2cb4ef5929ddb38a173cac2a7e6d7b56688ce,Foundation3
0x07c68b6062a884bc08a63ec332eb07d024f24d60,2,1.0,0x1ae2cb4ef5929ddb38a173cac2a7e6d7b56688ce,Foundation3
0xd9270fd770b3e06f7b4a7452f531f035826a2eac,3,1.0,0x1ae2cb4ef5929ddb38a173cac2a7e6d7b56688ce,Foundation3
0xe9495233d947723f55f958f94665535605d74103,60001,1.0,0x677aced6cdbb8b24f0bfd3da27191e640a73bfa6,MoPAr
0xa83ba9e5b492035d0551c7d5ea9bb51e687dfb86,60002,1.0,0x677aced6cdbb8b24f0bfd3da27191e640a73bfa6,MoPAr
0x21339e2ce5ce1d7a19a28e774513619c0c6259da,101903351409727727931118694207012337984595332015415513241580452127860192182287,1.0,0x495f947276749ce646f68ac8c248420045cb7b5e,OfLoveLifePoetryEditions
0x5470a0ad35a6066fdd1b47d18b6bb04bffb9f59a,101903351409727727931118694207012337984595332015415513241580452127860192182287,1.0,0x495f947276749ce646f68ac8c248420045cb7b5e,OfLoveLifePoetryEditions
0x768f7248296e71f694c6afe3ea06923093341f0d,101903351409727727931118694207012337984595332015415513241580452127860192182287,1.0,0x495f947276749ce646f68ac8c248420045cb7b5e,OfLoveLifePoetryEditions
